origin	scanNumber	polarity	basePeakMz	basePeakIntensity	totalIonCurrent	id	scanDefinition	msLevel	isolationWindowTargetMz[0]	isolationWindowLowerOffset[0]	isolationWindowUpperOffset[0]	precursorActivationType	precursorCollisionEnergy	precursorCollisionEnergyUnit	ionInjectionTime[0]	isolationMzMin[0]	isolationMzMax[0]	precursorCharge[0]	precursorMz[0]	msFunction	retentionTime	spectrumType	rawTic	foundMass	foundMassRange[ppm]	foundMassLowerBound	foundMassUpperBound	foundMassError[ppm]	foundIntensity	scanRelativeIntensity	calculatedMass	species	fragment	adduct
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	293.2059326171875	5	293.2044339705	293.2073660295	0.11124328505825076	178076.39	0.010940137	293.2059	TXB2-d4	293,206	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	293.2059326171875	10	293.202967941	293.20883205900003	0.11124328505825076	178076.39	0.010940137	293.2059	TXB2-d4	293,206	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	199.12774658203125	5	199.1267043615	199.1286956385	0.23393044385906342	4811019.5	0.29556537	199.1277	TXB2-d4	199,128	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	199.12774658203125	10	199.125708723	199.129691277	0.23393044385906342	4811019.5	0.29556537	199.1277	TXB2-d4	199,128	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	181.11717224121094	5	181.116294414	181.11810558599998	-0.15326423475717516	55411.29	0.003404197	181.1172	TXB2-d4	181,117	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	181.11717224121094	10	181.11538882800002	181.119011172	-0.15326423475717516	55411.29	0.003404197	181.1172	TXB2-d4	181,117	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	311.216552734375	5	311.215043917	311.218156083	-0.1518737272629525	262120.81	0.016103413	311.2166	TXB2-d4	311,217	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	311.216552734375	10	311.213487834	311.219712166	-0.1518737272629525	262120.81	0.016103413	311.2166	TXB2-d4	311,217	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	329.2269592285156	5	329.22545386449997	329.2287461355	-0.42758170388216826	1543665.8	0.09483523	329.2271	TXB2-d4	329,227	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	329.2269592285156	10	329.223807729	329.230392271	-0.42758170388216826	1543665.8	0.09483523	329.2271	TXB2-d4	329,227	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	355.2425231933594	5	355.2409237865	355.24447621350004	-0.497706611954195	183284.0	0.011260067	355.2427	TXB2-d4	355,243	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	355.2425231933594	10	355.239147573	355.246252427	-0.497706611954195	183284.0	0.011260067	355.2427	TXB2-d4	355,243	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	173.11204528808594	5	173.1110344405	173.11276555950002	0.8392726666742683	4950187.0	0.30411515	173.1119	TXB2-d4	173,112	[M-H]1-
QExHF03_NM_0001327.mzML	1	NEGATIVE	173.1120423	4.950187e06	1.643626e07	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 373.2534@hcd10.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	10.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.2652258	CENTROIDED	1.6277345E7	173.11204528808594	10	173.11016888100002	173.113631119	0.8392726666742683	4950187.0	0.30411515	173.1119	TXB2-d4	173,112	[M-H]1-
QExHF03_NM_0001327.mzML	2	NEGATIVE	173.1120782	5.0034765e06	1.6682609e07	controllerType=0 controllerNumber=1 scan=2	FTMS - p NSI Full ms2 373.2534@hcd11.00 [50.0000-400.0000]	2	373.253387451172	0.25	0.25	HCD	11.0	electronvolt		373.003387451172	373.503387451172		373.2534	null	0.4398586	CENTROIDED	1.631395E7	293.2060241699219	5	293.2044339705	293.2073660295	0.4234905296566712	184652.0	0.011318657	293.2059	TXB2-d4	293,206	[M-H]1-
