instrument	origin	scanNumber	polarity	basePeakMz	basePeakIntensity	totalIonCurrent	id	scanDefinition	msLevel	isolationWindowTargetMz[0]	isolationWindowLowerOffset[0]	isolationWindowUpperOffset[0]	precursorActivationType	precursorCollisionEnergy	precursorCollisionEnergyUnit	ionInjectionTime[0]	isolationMzMin[0]	isolationMzMax[0]	precursorCharge[0]	precursorMz[0]	msFunction	retentionTime	spectrumType	rawTic	foundMass	foundMassRange[ppm]	foundMassLowerBound	foundMassUpperBound	foundMassError[ppm]	foundIntensity	scanRelativeIntensity	calculatedMass	species	fragment	adduct
null	QExHF03_NM_0001544.mzML	1	NEGATIVE	718.5394939	1.3727328e06	1.5241849e06	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 718.5392@hcd10.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	10.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.38772073	CENTROIDED	1458920.5	269.2488098144531	5	269.247257751889	269.249950237929	0.7644219545847766	22769.11	0.01560682	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	1	NEGATIVE	718.5394939	1.3727328e06	1.5241849e06	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 718.5392@hcd10.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	10.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.38772073	CENTROIDED	1458920.5	269.2488098144531	10	269.245911508869	269.25129648094895	0.7644219545847766	22769.11	0.01560682	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	1	NEGATIVE	718.5394939	1.3727328e06	1.5241849e06	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 718.5392@hcd10.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	10.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.38772073	CENTROIDED	1458920.5	718.5394897460938	5	718.5356366187624	718.5428220110556	0.36244532536460017	1372732.8	0.94092363	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	1	NEGATIVE	718.5394939	1.3727328e06	1.5241849e06	controllerType=0 controllerNumber=1 scan=1	FTMS - p NSI Full ms2 718.5392@hcd10.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	10.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.38772073	CENTROIDED	1458920.5	718.5394897460938	10	718.5320439226159	718.5464147072021	0.36244532536460017	1372732.8	0.94092363	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	2	NEGATIVE	718.5395655	1.2510644e06	1.4395955e06	controllerType=0 controllerNumber=1 scan=2	FTMS - p NSI Full ms2 718.5392@hcd11.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	11.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.64495176	CENTROIDED	1377868.4	269.2486572265625	5	269.247257751889	269.249950237929	0.19770447356160598	40953.81	0.029722584	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	2	NEGATIVE	718.5395655	1.2510644e06	1.4395955e06	controllerType=0 controllerNumber=1 scan=2	FTMS - p NSI Full ms2 718.5392@hcd11.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	11.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.64495176	CENTROIDED	1377868.4	269.2486572265625	10	269.245911508869	269.25129648094895	0.19770447356160598	40953.81	0.029722584	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	2	NEGATIVE	718.5395655	1.2510644e06	1.4395955e06	controllerType=0 controllerNumber=1 scan=2	FTMS - p NSI Full ms2 718.5392@hcd11.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	11.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.64495176	CENTROIDED	1377868.4	718.53955078125	5	718.5356366187624	718.5428220110556	0.4473887129485933	1251064.4	0.9079709	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	2	NEGATIVE	718.5395655	1.2510644e06	1.4395955e06	controllerType=0 controllerNumber=1 scan=2	FTMS - p NSI Full ms2 718.5392@hcd11.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	11.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.64495176	CENTROIDED	1377868.4	718.53955078125	10	718.5320439226159	718.5464147072021	0.4473887129485933	1251064.4	0.9079709	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	3	NEGATIVE	718.5395691	1.3573822e06	1.5840322e06	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 718.5392@hcd12.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	12.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.9020866	CENTROIDED	1515044.5	269.2485656738281	5	269.247257751889	269.249950237929	-0.14232601505229636	76481.21	0.050481163	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	3	NEGATIVE	718.5395691	1.3573822e06	1.5840322e06	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 718.5392@hcd12.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	12.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.9020866	CENTROIDED	1515044.5	269.2485656738281	10	269.245911508869	269.25129648094895	-0.14232601505229636	76481.21	0.050481163	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	3	NEGATIVE	718.5395691	1.3573822e06	1.5840322e06	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 718.5392@hcd12.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	12.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.9020866	CENTROIDED	1515044.5	718.53955078125	5	718.5356366187624	718.5428220110556	0.4473887129485933	1357382.2	0.89593554	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	3	NEGATIVE	718.5395691	1.3573822e06	1.5840322e06	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 718.5392@hcd12.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	12.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.9020866	CENTROIDED	1515044.5	718.53955078125	10	718.5320439226159	718.5464147072021	0.4473887129485933	1357382.2	0.89593554	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	3	NEGATIVE	718.5395691	1.3573822e06	1.5840322e06	controllerType=0 controllerNumber=1 scan=3	FTMS - p NSI Full ms2 718.5392@hcd12.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	12.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	0.9020866	CENTROIDED	1515044.5	466.296630859375	10	466.2892506257734	466.2985765040447	5.827428552963002	2728.3408	0.0018008321	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
null	QExHF03_NM_0001544.mzML	4	NEGATIVE	718.5396096	1.2064019e06	1.4138156e06	controllerType=0 controllerNumber=1 scan=4	FTMS - p NSI Full ms2 718.5392@hcd13.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	13.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.1590798	CENTROIDED	1348996.9	269.2486267089844	5	269.247257751889	269.249950237929	0.08436097735697186	97877.07	0.072555445	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	4	NEGATIVE	718.5396096	1.2064019e06	1.4138156e06	controllerType=0 controllerNumber=1 scan=4	FTMS - p NSI Full ms2 718.5392@hcd13.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	13.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.1590798	CENTROIDED	1348996.9	269.2486267089844	10	269.245911508869	269.25129648094895	0.08436097735697186	97877.07	0.072555445	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	4	NEGATIVE	718.5396096	1.2064019e06	1.4138156e06	controllerType=0 controllerNumber=1 scan=4	FTMS - p NSI Full ms2 718.5392@hcd13.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	13.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.1590798	CENTROIDED	1348996.9	718.5396118164062	5	718.5356366187624	718.5428220110556	0.5323321005325864	1206401.9	0.8942955	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	4	NEGATIVE	718.5396096	1.2064019e06	1.4138156e06	controllerType=0 controllerNumber=1 scan=4	FTMS - p NSI Full ms2 718.5392@hcd13.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	13.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.1590798	CENTROIDED	1348996.9	718.5396118164062	10	718.5320439226159	718.5464147072021	0.5323321005325864	1206401.9	0.8942955	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	4	NEGATIVE	718.5396096	1.2064019e06	1.4138156e06	controllerType=0 controllerNumber=1 scan=4	FTMS - p NSI Full ms2 718.5392@hcd13.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	13.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.1590798	CENTROIDED	1348996.9	466.2935485839844	5	466.2915820953412	466.2962450344769	-0.7827271899254186	8235.414	0.0061048428	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
null	QExHF03_NM_0001544.mzML	4	NEGATIVE	718.5396096	1.2064019e06	1.4138156e06	controllerType=0 controllerNumber=1 scan=4	FTMS - p NSI Full ms2 718.5392@hcd13.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	13.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.1590798	CENTROIDED	1348996.9	466.2935485839844	10	466.2892506257734	466.2985765040447	-0.7827271899254186	8235.414	0.0061048428	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
null	QExHF03_NM_0001544.mzML	5	NEGATIVE	718.5395769	1.1679036e06	1.4650004e06	controllerType=0 controllerNumber=1 scan=5	FTMS - p NSI Full ms2 718.5392@hcd14.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	14.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.4165697	CENTROIDED	1405439.9	269.2486877441406	5	269.247257751889	269.249950237929	0.3110479697662401	164394.69	0.11697027	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	5	NEGATIVE	718.5395769	1.1679036e06	1.4650004e06	controllerType=0 controllerNumber=1 scan=5	FTMS - p NSI Full ms2 718.5392@hcd14.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	14.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.4165697	CENTROIDED	1405439.9	269.2486877441406	10	269.245911508869	269.25129648094895	0.3110479697662401	164394.69	0.11697027	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	5	NEGATIVE	718.5395769	1.1679036e06	1.4650004e06	controllerType=0 controllerNumber=1 scan=5	FTMS - p NSI Full ms2 718.5392@hcd14.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	14.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.4165697	CENTROIDED	1405439.9	718.53955078125	5	718.5356366187624	718.5428220110556	0.4473887129485933	1167903.6	0.830988	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	5	NEGATIVE	718.5395769	1.1679036e06	1.4650004e06	controllerType=0 controllerNumber=1 scan=5	FTMS - p NSI Full ms2 718.5392@hcd14.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	14.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.4165697	CENTROIDED	1405439.9	718.53955078125	10	718.5320439226159	718.5464147072021	0.4473887129485933	1167903.6	0.830988	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
null	QExHF03_NM_0001544.mzML	5	NEGATIVE	718.5395769	1.1679036e06	1.4650004e06	controllerType=0 controllerNumber=1 scan=5	FTMS - p NSI Full ms2 718.5392@hcd14.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	14.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.4165697	CENTROIDED	1405439.9	466.2940979003906	5	466.2915820953412	466.2962450344769	0.3953203682131118	12741.887	0.00906612	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
null	QExHF03_NM_0001544.mzML	5	NEGATIVE	718.5395769	1.1679036e06	1.4650004e06	controllerType=0 controllerNumber=1 scan=5	FTMS - p NSI Full ms2 718.5392@hcd14.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	14.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.4165697	CENTROIDED	1405439.9	466.2940979003906	10	466.2892506257734	466.2985765040447	0.3953203682131118	12741.887	0.00906612	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
null	QExHF03_NM_0001544.mzML	6	NEGATIVE	718.5394306	1.133278e06	1.5427179e06	controllerType=0 controllerNumber=1 scan=6	FTMS - p NSI Full ms2 718.5392@hcd15.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	15.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.6737027	CENTROIDED	1487254.5	269.2486267089844	5	269.247257751889	269.249950237929	0.08436097735697186	252347.62	0.16967347	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	6	NEGATIVE	718.5394306	1.133278e06	1.5427179e06	controllerType=0 controllerNumber=1 scan=6	FTMS - p NSI Full ms2 718.5392@hcd15.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	15.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.6737027	CENTROIDED	1487254.5	269.2486267089844	10	269.245911508869	269.25129648094895	0.08436097735697186	252347.62	0.16967347	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
null	QExHF03_NM_0001544.mzML	6	NEGATIVE	718.5394306	1.133278e06	1.5427179e06	controllerType=0 controllerNumber=1 scan=6	FTMS - p NSI Full ms2 718.5392@hcd15.00 [50.0000-750.0000]	2	718.539184570313	0.25	0.25	HCD	15.0	electronvolt		718.289184570313	718.789184570313		718.5392	null	1.6737027	CENTROIDED	1487254.5	448.28265380859375	5	448.28110744816564	448.2855902816544	-1.5504843488395748	3680.3245	0.002474576	448.28334886491	PE 17:0-17:0	-FA 17:0(+HO)	[M-H]1-
